institution,established
 Ανωτάτη Σχολή Καλών Τεχνών,31/12/1836
 Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,14/06/1925
 ΑΣΠΑΙΤΕ,28/06/2002
 Γεωπονικό Πανεπιστήμιο Αθηνών,22/01/1920
 Δημοκρίτειο Πανεπιστήμιο Θράκης,27/07/1973
 Διεθνές Πανεπιστήμιο της Ελλάδος,07/05/2019
 Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,24/04/1837
 Εθνικό Μετσόβιο Πολυτεχνείο,20/06/1857
 Ελληνικό Ανοικτό Πανεπιστήμιο,21/09/1991
 Ελληνικό Μεσογειακό Πανεπιστήμιο,07/05/2019
 Ιόνιο Πανεπιστήμιο,07/03/1984
 Οικονομικό Πανεπιστήμιο Αθηνών,18/06/1920
 Πανεπιστήμιο Αιγαίου,20/03/1984
 Πανεπιστήμιο Δυτικής Αττικής,02/03/2018
 Πανεπιστήμιο Δυτικής Μακεδονίας,07/05/2019
 Πανεπιστήμιο Θεσσαλίας,20/03/1984
 Πανεπιστήμιο Ιωαννίνων,12/12/1970
 Πανεπιστήμιο Κρήτης,27/07/1973
 Πανεπιστήμιο Μακεδονίας,28/09/1948
 Πανεπιστήμιο Πατρών,11/11/1964
