institution,academic_year,programme,established,graduate,registered,enrolled,active
Athens School of Fine Arts,2020-2021,Εικαστικών Τεχνών,03/07/1990,99,1570,140,983
Athens School of Fine Arts,2020-2021,Θεωρίας και Ιστορίας της Τέχνης,07/09/2009,116,577,83,443
Aristotle University of Thessaloniki,2020-2021,Αγγλικής Γλώσσας και Φιλολογίας,03/05/1983,223,1557,227,806
Aristotle University of Thessaloniki,2020-2021,Αγρονόμων και Τοπογράφων Μηχανικών,24/10/1962,75,937,125,593
Aristotle University of Thessaloniki,2020-2021,Αρχιτεκτόνων Μηχανικών,03/05/1983,142,1297,161,973
Aristotle University of Thessaloniki,2020-2021,Βιολογίας,11/04/1973,103,975,166,556
Aristotle University of Thessaloniki,2020-2021,Γαλλικής Γλώσσας και Φιλολογίας,26/08/1982,60,792,68,375
Aristotle University of Thessaloniki,2020-2021,Γερμανικής Γλώσσας και Φιλολογίας,14/09/1981,113,1238,115,626
Aristotle University of Thessaloniki,2020-2021,Γεωλογίας,05/04/1973,81,1506,146,647
Aristotle University of Thessaloniki,2020-2021,Γεωπονίας,30/06/1928,302,3089,289,1668
Aristotle University of Thessaloniki,2020-2021,Δασολογίας και Φυσικού Περιβάλλοντος,14/09/1917,99,1459,153,911
Aristotle University of Thessaloniki,2020-2021,Δημοσιογραφίας και Μέσων Μαζικής Επικοινωνίας,27/07/1991,47,1227,143,1046
Aristotle University of Thessaloniki,2020-2021,Εικαστικών και Εφαρμοσμένων Τεχνών,03/05/1984,114,1103,290,750
Aristotle University of Thessaloniki,2020-2021,Εισαγωγική κατεύθυνση Μουσουλμανικών Σπουδών,19/04/2016,21,242,62,242
Aristotle University of Thessaloniki,2020-2021,Επιστήμης Φυσικής Αγωγής και Αθλητισμού,01/09/1983,296,2414,315,1125
Aristotle University of Thessaloniki,2020-2021,Επιστήμης Φυσικής Αγωγής και Αθλητισμού (Σέρρες),08/02/1985,129,830,189,468
Aristotle University of Thessaloniki,2020-2021,Επιστημών Προσχολικής Αγωγής και Εκπαίδευσης,09/07/1983,195,1628,228,1110
Aristotle University of Thessaloniki,2020-2021,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,01/09/1976,242,2828,315,1807
Aristotle University of Thessaloniki,2020-2021,Θεάτρου,03/05/1984,42,912,100,589
Aristotle University of Thessaloniki,2020-2021,Θεολογίας,25/10/1982,205,4326,274,1145
Aristotle University of Thessaloniki,2020-2021,Ιατρικής,18/02/1942,321,2505,332,1738
Aristotle University of Thessaloniki,2020-2021,Ιστορίας και Αρχαιολογίας,12/03/2020,280,1947,235,1100
Aristotle University of Thessaloniki,2020-2021,Ιταλικής Γλώσσας και Φιλολογίας,01/09/1960,85,949,78,395
Aristotle University of Thessaloniki,2020-2021,Κινηματογράφου,22/07/2004,75,898,112,623
Aristotle University of Thessaloniki,2020-2021,Κοινωνικής Θεολογίας και Χριστιανικού Πολιτισμού (πρωήν Ποιμαντικής και Κοινωνικής Θεολογίας),06/10/1994,120,2088,404,1201
Aristotle University of Thessaloniki,2020-2021,Κτηνιατρικής,17/10/1950,143,734,141,695
Aristotle University of Thessaloniki,2020-2021,Μαθηματικών,18/10/1928,241,2853,242,1174
Aristotle University of Thessaloniki,2020-2021,Μηχανικών Χωροταξίας και Ανάπτυξης,22/07/2004,101,766,133,624
Aristotle University of Thessaloniki,2020-2021,Μηχανολόγων Μηχανικών,10/09/1976,123,1935,188,1122
Aristotle University of Thessaloniki,2020-2021,Μουσικών Σπουδών,03/05/1984,50,753,76,452
Aristotle University of Thessaloniki,2020-2021,Νομικής,07/08/1930,338,4992,523,2258
Aristotle University of Thessaloniki,2020-2021,Οδοντιατρικής,07/09/1959,125,2527,124,2397
Aristotle University of Thessaloniki,2020-2021,Οικονομικών Επιστημών,19/11/1927,528,4655,548,1916
Aristotle University of Thessaloniki,2020-2021,Παιδαγωγικό Δημοτικής Εκπαίδευσης,16/07/1982,358,1792,339,1241
Aristotle University of Thessaloniki,2020-2021,Πληροφορικής,30/05/1991,129,1639,233,1107
Aristotle University of Thessaloniki,2020-2021,Πολιτικών Επιστημών,06/09/1999,142,1289,178,873
Aristotle University of Thessaloniki,2020-2021,Πολιτικών Μηχανικών,08/10/1955,158,2197,220,1254
Aristotle University of Thessaloniki,2020-2021,Φαρμακευτικής,22/03/1993,88,1015,141,785
Aristotle University of Thessaloniki,2020-2021,Φιλολογίας,01/09/1984,310,1940,298,1174
Aristotle University of Thessaloniki,2020-2021,Φιλοσοφίας και Παιδαγωγικής,27/04/1993,187,1328,261,957
Aristotle University of Thessaloniki,2020-2021,Φυσικής,27/08/1982,269,2608,258,1080
Aristotle University of Thessaloniki,2020-2021,Χημείας,03/07/2009,249,1560,221,863
Aristotle University of Thessaloniki,2020-2021,Χημικών Μηχανικών,28/06/1972,118,1186,160,730
Aristotle University of Thessaloniki,2020-2021,Ψυχολογίας,27/04/1993,300,1432,284,1024
School of Pedagogical and Technological Education (ASPETE),2020-2021,Εκπαιδευτικών Ηλεκτρολόγων Μηχανικών,05/06/2013,24,920,119,672
School of Pedagogical and Technological Education (ASPETE),2020-2021,Εκπαιδευτικών Ηλεκτρονικών Μηχανικών,05/06/2013,33,946,116,685
School of Pedagogical and Technological Education (ASPETE),2020-2021,Εκπαιδευτικών Μηχανολόγων Μηχανικών,05/06/2013,38,947,124,685
School of Pedagogical and Technological Education (ASPETE),2020-2021,Εκπαιδευτικών Πολιτικών Μηχανικών,01/09/2013,58,817,101,597
Agricultural University of Athens,2020-2021,Αγροτικής Οικονομίας και Ανάπτυξης,28/03/1985,75,1316,151,831
Agricultural University of Athens,2020-2021,Αξιοποίησης Φυσικών Πόρων και Γεωργικής Μηχανικής,16/06/1989,51,1277,131,775
Agricultural University of Athens,2020-2021,Βιοτεχνολογίας,16/06/1989,72,919,144,733
Agricultural University of Athens,2020-2021,Δασολογίας και Διαχείρισης Φυσικού Περιβάλλοντος,29/01/2019,10,272,144,272
Agricultural University of Athens,2020-2021,Διοίκησης Γεωργικών Επιχειρήσεων και Συστημάτων Εφοδιασμού,29/01/2019,0,527,267,527
Agricultural University of Athens,2020-2021,Επιστήμης Ζωικής Παραγωγής (πρώην Επιστήμης Ζωικής Παραγωγής και Υδατοκαλλιεργειών),16/06/1989,67,1139,140,822
Agricultural University of Athens,2020-2021,Επιστήμης Τροφίμων και Διατροφής του Ανθρώπου,16/06/1989,84,924,144,710
Agricultural University of Athens,2020-2021,Επιστήμης Φυτικής Παραγωγής,28/03/1985,128,2091,215,1246
Agricultural University of Athens,2020-2021,Περιφερειακής και Οικονομικής Ανάπτυξης,29/01/2019,0,312,196,312
